"BPBM","genus","species","SVL","finger","toe","ft","anterior","posterior","ap","reference","toe_length","toe_webbing","IO_space","tympanum","palate","cartilaginous","ligamentous","pupil_horizontal","teeth","two_palate_folds","honk_call","whinny_call","rattle_call","peeping_call"
39521,"Auparoparo","phoebe",27.7,2.061154365,1.669731898,1.234422345,2.742335279,1.330047051,2.061833284,"",2,2,1,2,2,3,0,3,0,3,0,3,0,0
39522,"Auparoparo","phoebe",25.3,1.987004539,1.520096535,1.307156811,1.754201653,1.34911514,1.30026089,"kraus_2017",3,2,1,1,2,3,0,3,0,3,0,3,0,0
39523,"Auparoparo","phoebe",25,1.928604328,1.399886324,1.377686384,2.220107945,1.218415549,1.822127062,"",1,1,2,1,1,3,0,3,0,3,0,3,0,0
39526,"Auparoparo","phoebe",26.7,1.690719511,1.275570293,1.325461655,1.795419266,1.419148699,1.265138224,"",1,2,2,1,3,3,0,3,0,3,0,3,0,0
42014,"Auparoparo","penelopeia",21,1.39494512,1.018943729,1.369010947,1.667707434,1.252147175,1.331878126,"",1,3,0,1,2,0,3,3,0,3,0,3,0,0
42015,"Auparoparo","penelopeia",22.2,1.538694761,1.068659535,1.439836271,1.87085258,0.9352026543,2.000478261,"",1,2,0,1,1,0,3,3,0,3,0,3,0,0
42016,"Auparoparo","penelopeia",22.8,1.415958292,1.099449431,1.287879417,1.598677734,0.9292116743,1.72046669,"Kraus_2016",0,3,1,1,1,0,3,3,0,3,0,3,0,0
42017,"Auparoparo","penelopeia",20.8,1.401997268,0.9591650065,1.461685173,1.399953816,1.229072855,1.13903241,"",1,2,1,1,1,0,3,3,0,3,0,3,0,0
42018,"Auparoparo","penelopeia",22.5,1.714952381,1.128880952,1.519161411,1.738443675,1.201325025,1.447105187,"",1,3,0,1,0,0,3,3,0,3,0,3,0,0
47656,"Oreophryne","loriae",26.1,1.939630461,1.768036438,1.097053443,1.887275335,1.213482139,1.555255965,"",1,2,2,1,1,0,3,3,0,3,3,0,0,0
