genus,species,BPBM,svl (mm),meas,number,label,mean,min,max,angle,length,pixels,finger width (mm),toe width (mm),f/t,ant width (mm),pos width (mm),a/p
Oreophryne,loriae,22359,24.7,10mm,1,IMG_4872.jpg,371,190.242,38.016,251.049,-0.929,370.049,1.859726685,1.657267011,1.122164789,2.634304959,1.754861353,1.501147059
,,,,finger,2,IMG_4872.jpg,70,116.865,103.006,136.84,-54.462,68.819,,,,,,
,,,,toe,3,IMG_4872.jpg,62,108.975,90.333,138,-114.057,61.327,,,,,,
,,,,10mm,4,IMG_4874.jpg,388,216.086,64,226.137,5.034,387.495,,,,,,
,,,,anterior width,5,IMG_4874.jpg,103,128.51,100,150.895,2.246,102.078,,,,,,
,,,,posterior width,6,IMG_4874.jpg,69,126.324,119,149.333,0,68,,,,,,
Oreophryne,loriae,27488,25.9,10mm,7,IMG_4876.jpg,405,161.521,31.297,246.086,-0.851,404.045,1.583981982,1.558440273,1.016389277,1.820981568,1.631306863,1.116271628
,,,,finger,8,IMG_4876.jpg,65,123.256,104.667,168,-90,64,,,,,,
,,,,toe,9,IMG_4876.jpg,64,109.214,83.103,129,-10.061,62.968,,,,,,
,,,,10mm,10,IMG_4880.jpg,518,210.572,56.267,252.051,3.991,517.254,,,,,,
,,,,anterior width,11,IMG_4880.jpg,95,125.752,95,210.184,3.652,94.191,,,,,,
,,,,posterior width,12,IMG_4880.jpg,85,141.284,114.333,214.238,5.44,84.38,,,,,,
Oreophryne,loriae,22537,25,10mm,13,IMG_4881.jpg,463,194.959,26.84,251.333,0.744,462.039,1.776862992,1.585277433,1.120853016,2.590564972,2.074293785,1.248890099
,,,,finger,14,IMG_4881.jpg,83,90.209,70,127,-92.793,82.098,,,,,,
,,,,toe,15,IMG_4881.jpg,74,96.818,59.333,114.726,-104.226,73.246,,,,,,
,,,,10mm,16,IMG_4882.jpg,355,200.49,45.667,254.667,0,354,,,,,,
,,,,anterior width,17,IMG_4882.jpg,93,120.611,103.878,135.648,-25.168,91.706,,,,,,
,,,,posterior width,18,IMG_4882.jpg,74,139.926,125.004,165.905,-29.358,73.43,,,,,,
Oreophryne,notata,33697,17.1,10mm,1,IMG_4891.jpg,210,206.733,40,217.569,-0.274,209.002,0.9758758289,0.8133893456,1.199764706,1.373010127,1.136583373,1.20801532
,,,,finger,2,IMG_4891.jpg,21,100.319,84.7,113.267,11.31,20.396,,,,,,
,,,,toe,3,IMG_4891.jpg,18,65.577,56.359,93.639,28.072,17,,,,,,
,,,,10mm,4,IMG_4896.jpg,635,226.791,64.667,252.729,-3.255,634.023,,,,,,
,,,,anterior width,5,IMG_4896.jpg,88,118.541,106.333,130.069,-1.975,87.052,,,,,,
,,,,posterior width,6,IMG_4896.jpg,73,145.405,110.833,252.556,-2.386,72.062,,,,,,
Oreophryne,notata,33772,18.4,10mm,1,IMG_4891.jpg,210,206.733,40,217.569,-0.274,209.002,1.360896068,1.137309691,1.196592343,1.921629437,1.411743012,1.361175102
,,,,finger,2,IMG_4891.jpg,29,133.839,113.655,157.095,-10.125,28.443,,,,,,
,,,,toe,3,IMG_4891.jpg,25,131.745,116.333,146.997,-14.621,23.77,,,,,,
,,,,10mm,1,IMG_4898.jpg,598,177.454,29.643,233.687,-7.804,596.525,,,,,,
,,,,anterior width,2,IMG_4898.jpg,116,125.63,98.333,142.275,-6.009,114.63,,,,,,
,,,,posterior width,3,IMG_4898.jpg,85,121.426,112.095,133.143,-4.086,84.214,,,,,,
Oreophryne,notata,33706,18.6,10mm,1,IMG_4891.jpg,210,206.733,40,217.569,-0.274,209.002,1.275346647,1.109797992,1.14917008,1.671263632,1.085003796,1.540329757
,,,,finger,2,IMG_4891.jpg,28,125.642,99.297,182.333,-156.801,26.655,,,,,,
,,,,toe,3,IMG_4891.jpg,24,153.929,103.841,246.623,7.431,23.195,,,,,,
,,,,10mm,4,IMG_4899.jpg,529,217.57,77.667,226.841,-8.82,528.247,,,,,,
,,,,anterior width,5,IMG_4899.jpg,89,133.781,105,151.083,-9.782,88.284,,,,,,
,,,,posterior width,6,IMG_4899.jpg,58,122.711,108.544,138.018,-6.009,57.315,,,,,,
Oreophryne,notata,33674,19.5,10mm,1,IMG_4891.jpg,210,206.733,40,217.569,-0.274,209.002,1.196400034,1.093434513,1.094167068,1.613057392,1.304974518,1.236083441
,,,,finger,2,IMG_4891.jpg,26,126.042,89.667,147.167,11.535,25.005,,,,,,
,,,,toe,3,IMG_4891.jpg,24,132.504,113.471,154.833,10.081,22.853,,,,,,
,,,,10mm,1,IMG_4901.jpg,524,180.997,35.556,250.05,-3.727,523.106,,,,,,
,,,,anterior width,2,IMG_4901.jpg,85,124.836,107,139.667,-5.44,84.38,,,,,,
,,,,posterior width,3,IMG_4901.jpg,69,146.838,136.637,154.765,-5.042,68.264,,,,,,
Oreophryne,notata,33673,17.2,10mm,1,IMG_4891.jpg,210,206.733,40,217.569,-0.274,209.002,1.347355528,1.196400034,1.126174765,1.775757138,1.709129686,1.038983263
,,,,finger,2,IMG_4891.jpg,29,111.935,83.551,177.167,16.504,28.16,,,,,,
,,,,toe,3,IMG_4891.jpg,26,119.345,78.733,168,-11.535,25.005,,,,,,
,,,,10mm,4,IMG_4905.jpg,610,162.762,41.274,235.977,-9.648,608.608,,,,,,
,,,,anterior width,5,IMG_4905.jpg,109,103.439,79.333,120.333,-2.121,108.074,,,,,,
,,,,posterior width,6,IMG_4905.jpg,105,103.849,86.032,112.603,-1.102,104.019,,,,,,
Oreophryne,parkeri,31472,23.4,10mm,1,IMG_4906.jpg,477,174.444,23.017,245.854,-0.481,476.017,1.724686303,1.798339135,0.9590439699,2.00125,1.621014151,1.234566644
,,,,finger,2,IMG_4906.jpg,83,118.269,88.285,135.463,2.793,82.098,,,,,,
,,,,toe,3,IMG_4906.jpg,87,122.049,85,140.552,-52.595,85.604,,,,,,
,,,,10mm,22,IMG_4922.jpg,425,57.164,29.333,85.667,0,424,,,,,,
,,,,anterior width,23,IMG_4922.jpg,86,133.099,105,143.988,-8.13,84.853,,,,,,
,,,,posterior width,24,IMG_4922.jpg,70,151.161,133.609,164,-8.366,68.731,,,,,,
Oreophryne,parkeri,34647,21.5,10mm,4,IMG_4907.jpg,493,174.646,30.28,238.024,0.699,492.037,1.618252286,1.473425779,1.098292367,1.889283731,1.635443272,1.155212023
,,,,finger,5,IMG_4907.jpg,81,130.598,123.333,140.667,11.592,79.624,,,,,,
,,,,toe,6,IMG_4907.jpg,73,124.59,109.118,228.933,-24.444,72.498,,,,,,
,,,,10mm,10,IMG_4912.jpg,541,174.473,43.767,228.267,-1.909,540.3,,,,,,
,,,,anterior width,11,IMG_4912.jpg,103,95.357,78.333,106.275,-2.246,102.078,,,,,,
,,,,posterior width,12,IMG_4912.jpg,89,117.146,110,127.424,-5.194,88.363,,,,,,
Oreophryne,parkeri,34648,24.2,10mm,1,IMG_4908.jpg,437,182.319,36.54,246.402,-0.263,436.005,2.205639844,1.862730932,1.184089342,2.574975909,1.512072923,1.702944262
,,,,finger,2,IMG_4908.jpg,97,96.168,82.333,104.905,-16.928,96.167,,,,,,
,,,,toe,3,IMG_4908.jpg,82,102.892,88.463,120.036,9.926,81.216,,,,,,
,,,,10mm,16,IMG_4914.jpg,512,182.163,30.626,251.727,-2.694,510.564,,,,,,
,,,,anterior width,17,IMG_4914.jpg,132,106.05,88.705,119.985,-13.191,131.469,,,,,,
,,,,posterior width,18,IMG_4914.jpg,78,109.299,88.784,129.4,-16.557,77.201,,,,,,
Oreophryne,parkeri,34649,22.5,10mm,4,IMG_4909.jpg,472,217.66,69.401,246.291,0.365,471.01,2.110528439,1.831787011,1.152169126,2.074877854,1.817774511,1.141438524
,,,,finger,5,IMG_4909.jpg,100,105.446,93.97,121.333,5.194,99.408,,,,,,
,,,,toe,6,IMG_4909.jpg,87,116.187,105.352,133.43,-45.939,86.279,,,,,,
,,,,10mm,13,IMG_4918.jpg,541,162.589,45,209.8,-1.273,540.133,,,,,,
,,,,anterior width,14,IMG_4918.jpg,113,134.024,93.333,168.75,2.045,112.071,,,,,,
,,,,posterior width,15,IMG_4918.jpg,99,117.771,86.667,211.776,3.504,98.184,,,,,,
Oreophryne,parkeri,22785,24.5,10mm,7,IMG_4910.jpg,425,178.227,91.346,225.832,0.811,424.042,2.093401125,2.320807845,0.902013982,2.177705779,1.849129897,1.177692158
,,,,finger,8,IMG_4910.jpg,90,102.308,91.865,146.333,22.521,88.769,,,,,,
,,,,toe,9,IMG_4910.jpg,99,145.795,75.201,250.259,25.263,98.412,,,,,,
,,,,10mm,19,IMG_4919.jpg,473,175.47,31.299,224.329,-2.917,471.611,,,,,,
,,,,anterior width,20,IMG_4919.jpg,104,105.592,90.313,117.091,-6.71,102.703,,,,,,
,,,,posterior width,21,IMG_4919.jpg,88,165.873,146.793,174,-3.945,87.207,,,,,,
Oreophryne,biroi,23484,21.7,10mm,1,IMG_4924.jpg,391,153.761,12.872,213.179,-0.881,390.046,1.949154715,1.508078534,1.292475604,2.300620753,1.685666976,1.364813327
,,,,finger,2,IMG_4924.jpg,77,81.495,66.018,115.36,-1.507,76.026,,,,,,
,,,,toe,3,IMG_4924.jpg,60,96.606,70.192,195.667,-125.311,58.822,,,,,,
,,,,10mm,1,IMG_4933.jpg,525,156.39,12.742,224.8,5.254,524.202,,,,,,
,,,,anterior width,2,IMG_4933.jpg,122,125.914,109.438,136.343,-5.711,120.599,,,,,,
,,,,posterior width,3,IMG_4933.jpg,89,153.067,135.212,244.909,-5.194,88.363,,,,,,
Oreophryne,biroi,23483,27.3,10mm,4,IMG_4926.jpg,419,181.07,17.309,241.96,1.37,418.12,1.977422749,1.892279728,1.044994944,2.263764715,1.628263132,1.390294155
,,,,finger,5,IMG_4926.jpg,84,97.659,82.492,163.651,-122.152,82.68,,,,,,
,,,,toe,6,IMG_4926.jpg,80,96.825,72.453,130.333,20.726,79.12,,,,,,
,,,,10mm,4,IMG_4936.jpg,529,197.547,27.932,251.583,-65.475,527.599,,,,,,
,,,,anterior width,5,IMG_4936.jpg,120,137.959,121.796,150.412,-115.278,119.436,,,,,,
,,,,posterior width,6,IMG_4936.jpg,87,162.522,104.588,242.069,-114.775,85.907,,,,,,
Oreophryne,biroi,23481,30.5,10mm,7,IMG_4928.jpg,469,227.336,35.667,239.333,0,468,2.243482906,1.659529915,1.351878557,2.724127491,1.991962223,1.367559816
,,,,finger,8,IMG_4928.jpg,106,134.386,100.667,163,-130.365,104.995,,,,,,
,,,,toe,9,IMG_4928.jpg,79,116.448,86.667,151.333,-55.491,77.666,,,,,,
,,,,10mm,1,IMG_4937.jpg,411,107.249,80.674,134.236,12.407,409.566,,,,,,
,,,,anterior width,2,IMG_4937.jpg,113,143.981,117.321,160.69,-14.534,111.571,,,,,,
,,,,posterior width,3,IMG_4937.jpg,83,166.078,139,178.526,-11.31,81.584,,,,,,
Oreophryne,biroi,34690,22.4,10mm,10,IMG_4930.jpg,523,167.658,7.667,224.54,1.317,522.138,1.483630764,1.413093856,1.049916647,2.412853881,1.878949772,1.284150283
,,,,finger,11,IMG_4930.jpg,78,141.983,117.333,182.667,11.165,77.466,,,,,,
,,,,toe,12,IMG_4930.jpg,75,146.153,132.333,207.667,-32.829,73.783,,,,,,
,,,,10mm,4,IMG_4940.jpg,439,162.516,41,202.333,0,438,,,,,,
,,,,anterior width,5,IMG_4940.jpg,107,135.74,118.044,146.481,6.52,105.683,,,,,,
,,,,posterior width,6,IMG_4940.jpg,83,147.514,111.667,164.74,4.879,82.298,,,,,,
Oreophryne,biroi,23485,29,10mm,13,IMG_4931.jpg,481,175.865,19.175,251,-0.716,480.037,2.070840373,1.528548841,1.354775403,2.195264431,1.6562628,1.325432432
,,,,finger,14,IMG_4931.jpg,100,75.308,25.545,146.667,5.194,99.408,,,,,,
,,,,toe,15,IMG_4931.jpg,74,60.754,26.017,151,-17.447,73.376,,,,,,
,,,,10mm,7,IMG_4942.jpg,448,144.63,74.84,219.613,22.087,446.789,,,,,,
,,,,anterior width,8,IMG_4942.jpg,99,127.564,109.999,149.696,-20.283,98.082,,,,,,
,,,,posterior width,9,IMG_4942.jpg,75,166.818,154.97,228.247,-18.925,74,,,,,,
